

#### D1 conj ####
28,122258186340332
29,220986366271973
31,41350746154785
39,09432888031006
44,88019943237305
70,71142196655273
10,970520973205566
10,07227897644043


#### D1 ng ####
44,48084831237793
60,83476543426514
30,31923770904541
31,714487075805664
33,21123123168945
68,01774501800537
11,86838150024414
8,775997161865234


#### D1 rdfstar ####
28,424668312072754
28,124332427978516
78,88932228088379
53,556156158447266
46,7754602432251
90,95416069030762
10,771036148071289
13,364148139953613
